ID,min,max
1,0,5346
2,0,5250
3,0,3328
4,0,575
5,0,10300
6,0,3575
7,0,7317
8,0,19907
9,0,2321
10,0,2822
11,0,1649
12,0,6134
13,0,4485
14,0,7853
15,0,1643
16,0,3312
17,0,4953
18,0,5206
19,0,4748
20,0,30341
21,0,2402
22,0,10966
23,0,2279
24,0,20564
25,0,7676
26,0,21429
27,0,12124
28,0,19562
29,0,8675
30,0,2851
31,0,7513
32,0,9548
33,0,11408
34,0,6271
35,0,21473
36,0,2856
37,0,34321
38,0,11374
39,0,8401
40,0,11024
41,0,11233
42,0,15450
43,0,3147
44,0,2165
45,0,2099
46,0,6458
47,0,4742
48,0,30399
49,0,4197
50,0,25150
51,0,38027
52,0,5689
53,0,2949
54,0,20121
55,0,6081
56,0,7617
57,0,66856
58,0,5291
59,0,7861
60,0,43428
61,0,7156
62,0,1878
63,0,2718
64,0,9208
65,0,11158
66,0,8216
67,0,10489
68,0,2964
69,0,2807
70,0,5200
71,0,4955
72,0,10761
73,0,10870
74,0,7775
75,0,33996
76,0,2270
77,0,2820
78,0,8324
79,0,35634
80,0,4153
81,0,7904
82,0,8767
83,0,1677
84,0,3945
85,0,14383
86,0,2291
87,0,13871
88,0,9193
89,0,4127
90,0,12177
91,0,2430
92,0,17062
93,0,11459
94,0,2958
95,0,2397
96,0,5084
97,0,10689
98,0,15311
99,0,3530
100,0,5461
101,0,2701
102,0,1385
103,0,13362
104,0,2315
105,0,2309
106,0,1952
107,0,5163
108,0,4722
109,0,6956
110,0,6980
111,0,1554
112,0,2448
113,0,5255
114,0,11607
115,0,2972
116,0,9629
117,0,9926
118,0,11474
119,0,3164
120,0,3300
121,0,5046
122,0,28433
123,0,9504
124,0,7051
125,0,7126
126,0,26693
127,0,4617
128,0,21391
129,0,31062
130,0,15347
131,0,1966
132,0,31589
133,0,12482
134,0,5898
135,0,3149
136,0,8516
137,0,6221
138,0,2979
139,0,2386
140,0,2178
141,0,14856
142,0,1413
143,0,8670
144,0,2121
145,0,19982
146,0,7221
147,0,2522
